kernels,dimension reduction,accuracy,n_gradients,sparsity
pearson,pca,0.6758793969849246,6,0.9
pearson,dm,0.5778894472361809,6,0.9
pearson,le,0.4824120603015075,6,0.9
spearman,pca,0.6331658291457286,6,0.9
spearman,dm,0.6381909547738693,6,0.9
spearman,le,0.4623115577889447,6,0.9
normalized_angle,pca,0.7587939698492462,6,0.9
normalized_angle,dm,0.7462311557788944,6,0.9
normalized_angle,le,0.7135678391959799,6,0.9
gaussian,pca,0.8517587939698492,6,0.9
gaussian,dm,0.7211055276381909,6,0.9
gaussian,le,0.6206030150753769,6,0.9
cosine,pca,0.7462311557788944,6,0.9
cosine,dm,0.7361809045226131,6,0.9
cosine,le,0.6105527638190955,6,0.9
pearson,pca,0.7336683417085427,7,0.9
pearson,dm,0.628140703517588,7,0.9
pearson,le,0.45226130653266333,7,0.9
spearman,pca,0.6809045226130653,7,0.9
spearman,dm,0.6708542713567839,7,0.9
spearman,le,0.4824120603015075,7,0.9
normalized_angle,pca,0.7613065326633166,7,0.9
normalized_angle,dm,0.7713567839195979,7,0.9
normalized_angle,le,0.7562814070351759,7,0.9
gaussian,pca,0.8592964824120602,7,0.9
gaussian,dm,0.7261306532663316,7,0.9
gaussian,le,0.6658291457286433,7,0.9
cosine,pca,0.7537688442211056,7,0.9
cosine,dm,0.7311557788944724,7,0.9
cosine,le,0.6080402010050251,7,0.9
pearson,pca,0.7462311557788944,8,0.9
pearson,dm,0.6155778894472361,8,0.9
pearson,le,0.4623115577889447,8,0.9
spearman,pca,0.6934673366834171,8,0.9
spearman,dm,0.6758793969849246,8,0.9
spearman,le,0.45226130653266333,8,0.9
normalized_angle,pca,0.7788944723618091,8,0.9
normalized_angle,dm,0.7788944723618091,8,0.9
normalized_angle,le,0.7462311557788944,8,0.9
gaussian,pca,0.8618090452261307,8,0.9
gaussian,dm,0.7336683417085427,8,0.9
gaussian,le,0.6909547738693468,8,0.9
cosine,pca,0.7663316582914573,8,0.9
cosine,dm,0.7386934673366834,8,0.9
cosine,le,0.5879396984924623,8,0.9
pearson,pca,0.7638190954773869,9,0.9
pearson,dm,0.6231155778894473,9,0.9
pearson,le,0.44974874371859297,9,0.9
spearman,pca,0.6884422110552764,9,0.9
spearman,dm,0.6834170854271356,9,0.9
spearman,le,0.457286432160804,9,0.9
normalized_angle,pca,0.7864321608040201,9,0.9
normalized_angle,dm,0.7839195979899497,9,0.9
normalized_angle,le,0.7412060301507538,9,0.9
gaussian,pca,0.8618090452261307,9,0.9
gaussian,dm,0.7537688442211056,9,0.9
gaussian,le,0.6984924623115578,9,0.9
cosine,pca,0.7713567839195979,9,0.9
cosine,dm,0.7537688442211056,9,0.9
cosine,le,0.5703517587939698,9,0.9
pearson,pca,0.7663316582914573,10,0.9
pearson,dm,0.6306532663316583,10,0.9
pearson,le,0.4120603015075377,10,0.9
spearman,pca,0.6909547738693468,10,0.9
spearman,dm,0.6884422110552764,10,0.9
spearman,le,0.4321608040201005,10,0.9
normalized_angle,pca,0.7939698492462312,10,0.9
normalized_angle,dm,0.7964824120603015,10,0.9
normalized_angle,le,0.7160804020100503,10,0.9
gaussian,pca,0.8668341708542714,10,0.9
gaussian,dm,0.7537688442211056,10,0.9
gaussian,le,0.6733668341708543,10,0.9
cosine,pca,0.7713567839195979,10,0.9
cosine,dm,0.7562814070351759,10,0.9
cosine,le,0.5276381909547738,10,0.9
pearson,pca,0.7839195979899497,11,0.9
pearson,dm,0.6331658291457286,11,0.9
pearson,le,0.3944723618090452,11,0.9
spearman,pca,0.6859296482412061,11,0.9
spearman,dm,0.6909547738693468,11,0.9
spearman,le,0.39949748743718594,11,0.9
normalized_angle,pca,0.7989949748743719,11,0.9
normalized_angle,dm,0.7914572864321608,11,0.9
normalized_angle,le,0.7361809045226131,11,0.9
gaussian,pca,0.871859296482412,11,0.9
gaussian,dm,0.7437185929648241,11,0.9
gaussian,le,0.6859296482412061,11,0.9
cosine,pca,0.7939698492462312,11,0.9
cosine,dm,0.7613065326633166,11,0.9
cosine,le,0.542713567839196,11,0.9
pearson,pca,0.7864321608040201,12,0.9
pearson,dm,0.6457286432160804,12,0.9
pearson,le,0.36683417085427134,12,0.9
spearman,pca,0.6884422110552764,12,0.9
spearman,dm,0.7110552763819096,12,0.9
spearman,le,0.38190954773869346,12,0.9
normalized_angle,pca,0.8115577889447236,12,0.9
normalized_angle,dm,0.8015075376884422,12,0.9
normalized_angle,le,0.7110552763819096,12,0.9
gaussian,pca,0.871859296482412,12,0.9
gaussian,dm,0.7361809045226131,12,0.9
gaussian,le,0.6557788944723618,12,0.9
cosine,pca,0.7814070351758794,12,0.9
cosine,dm,0.7663316582914573,12,0.9
cosine,le,0.5201005025125628,12,0.9
pearson,pca,0.7864321608040201,13,0.9
pearson,dm,0.6708542713567839,13,0.9
pearson,le,0.3391959798994975,13,0.9
spearman,pca,0.6959798994974874,13,0.9
spearman,dm,0.6934673366834171,13,0.9
spearman,le,0.3492462311557789,13,0.9
normalized_angle,pca,0.8040201005025126,13,0.9
normalized_angle,dm,0.8015075376884422,13,0.9
normalized_angle,le,0.7085427135678392,13,0.9
gaussian,pca,0.864321608040201,13,0.9
gaussian,dm,0.7487437185929648,13,0.9
gaussian,le,0.6507537688442211,13,0.9
cosine,pca,0.7839195979899497,13,0.9
cosine,dm,0.7613065326633166,13,0.9
cosine,le,0.507537688442211,13,0.9
pearson,pca,0.7814070351758794,14,0.9
pearson,dm,0.6608040201005025,14,0.9
pearson,le,0.32160804020100503,14,0.9
spearman,pca,0.6934673366834171,14,0.9
spearman,dm,0.6984924623115578,14,0.9
spearman,le,0.3391959798994975,14,0.9
normalized_angle,pca,0.8040201005025126,14,0.9
normalized_angle,dm,0.7989949748743719,14,0.9
normalized_angle,le,0.6934673366834171,14,0.9
gaussian,pca,0.8693467336683417,14,0.9
gaussian,dm,0.7512562814070352,14,0.9
gaussian,le,0.6507537688442211,14,0.9
cosine,pca,0.7864321608040201,14,0.9
cosine,dm,0.7537688442211056,14,0.9
cosine,le,0.4623115577889447,14,0.9
pearson,pca,0.7939698492462312,15,0.9
pearson,dm,0.6758793969849246,15,0.9
pearson,le,0.2889447236180904,15,0.9
spearman,pca,0.6934673366834171,15,0.9
spearman,dm,0.6909547738693468,15,0.9
spearman,le,0.32663316582914576,15,0.9
normalized_angle,pca,0.7989949748743719,15,0.9
normalized_angle,dm,0.8065326633165829,15,0.9
normalized_angle,le,0.6582914572864321,15,0.9
gaussian,pca,0.871859296482412,15,0.9
gaussian,dm,0.7487437185929648,15,0.9
gaussian,le,0.6457286432160804,15,0.9
cosine,pca,0.7839195979899497,15,0.9
cosine,dm,0.7638190954773869,15,0.9
cosine,le,0.46984924623115576,15,0.9
pearson,pca,0.7889447236180904,16,0.9
pearson,dm,0.6809045226130653,16,0.9
pearson,le,0.24623115577889448,16,0.9
spearman,pca,0.6984924623115578,16,0.9
spearman,dm,0.6959798994974874,16,0.9
spearman,le,0.30402010050251255,16,0.9
normalized_angle,pca,0.8065326633165829,16,0.9
normalized_angle,dm,0.8065326633165829,16,0.9
normalized_angle,le,0.6532663316582915,16,0.9
gaussian,pca,0.871859296482412,16,0.9
gaussian,dm,0.7512562814070352,16,0.9
gaussian,le,0.6180904522613065,16,0.9
cosine,pca,0.7839195979899497,16,0.9
cosine,dm,0.7688442211055276,16,0.9
cosine,le,0.45979899497487436,16,0.9
pearson,pca,0.7964824120603015,17,0.9
pearson,dm,0.6859296482412061,17,0.9
pearson,le,0.2613065326633166,17,0.9
spearman,pca,0.6959798994974874,17,0.9
spearman,dm,0.7010050251256281,17,0.9
spearman,le,0.2989949748743719,17,0.9
normalized_angle,pca,0.8065326633165829,17,0.9
normalized_angle,dm,0.8090452261306532,17,0.9
normalized_angle,le,0.6809045226130653,17,0.9
gaussian,pca,0.871859296482412,17,0.9
gaussian,dm,0.7437185929648241,17,0.9
gaussian,le,0.628140703517588,17,0.9
cosine,pca,0.7914572864321608,17,0.9
cosine,dm,0.7688442211055276,17,0.9
cosine,le,0.43467336683417085,17,0.9
pearson,pca,0.7989949748743719,18,0.9
pearson,dm,0.7010050251256281,18,0.9
pearson,le,0.2135678391959799,18,0.9
spearman,pca,0.7010050251256281,18,0.9
spearman,dm,0.6984924623115578,18,0.9
spearman,le,0.2889447236180904,18,0.9
normalized_angle,pca,0.8065326633165829,18,0.9
normalized_angle,dm,0.8115577889447236,18,0.9
normalized_angle,le,0.6206030150753769,18,0.9
gaussian,pca,0.871859296482412,18,0.9
gaussian,dm,0.7512562814070352,18,0.9
gaussian,le,0.592964824120603,18,0.9
cosine,pca,0.7939698492462312,18,0.9
cosine,dm,0.7713567839195979,18,0.9
cosine,le,0.41708542713567837,18,0.9
pearson,pca,0.7964824120603015,19,0.9
pearson,dm,0.7010050251256281,19,0.9
pearson,le,0.19095477386934673,19,0.9
spearman,pca,0.7035175879396985,19,0.9
spearman,dm,0.7085427135678392,19,0.9
spearman,le,0.22110552763819097,19,0.9
normalized_angle,pca,0.8040201005025126,19,0.9
normalized_angle,dm,0.8165829145728644,19,0.9
normalized_angle,le,0.6055276381909548,19,0.9
gaussian,pca,0.871859296482412,19,0.9
gaussian,dm,0.7487437185929648,19,0.9
gaussian,le,0.5778894472361809,19,0.9
cosine,pca,0.7964824120603015,19,0.9
cosine,dm,0.7688442211055276,19,0.9
cosine,le,0.32914572864321606,19,0.9
pearson,pca,0.7939698492462312,20,0.9
pearson,dm,0.6984924623115578,20,0.9
pearson,le,0.1984924623115578,20,0.9
spearman,pca,0.7010050251256281,20,0.9
spearman,dm,0.7110552763819096,20,0.9
spearman,le,0.2135678391959799,20,0.9
normalized_angle,pca,0.8040201005025126,20,0.9
normalized_angle,dm,0.8040201005025126,20,0.9
normalized_angle,le,0.5653266331658291,20,0.9
gaussian,pca,0.8743718592964824,20,0.9
gaussian,dm,0.7462311557788944,20,0.9
gaussian,le,0.5703517587939698,20,0.9
cosine,pca,0.7914572864321608,20,0.9
cosine,dm,0.7663316582914573,20,0.9
cosine,le,0.32160804020100503,20,0.9
pearson,pca,0.7964824120603015,21,0.9
pearson,dm,0.7085427135678392,21,0.9
pearson,le,0.16834170854271358,21,0.9
spearman,pca,0.6934673366834171,21,0.9
spearman,dm,0.7135678391959799,21,0.9
spearman,le,0.23618090452261306,21,0.9
normalized_angle,pca,0.8090452261306532,21,0.9
normalized_angle,dm,0.8140703517587939,21,0.9
normalized_angle,le,0.5804020100502513,21,0.9
gaussian,pca,0.8743718592964824,21,0.9
gaussian,dm,0.7512562814070352,21,0.9
gaussian,le,0.5527638190954773,21,0.9
cosine,pca,0.7914572864321608,21,0.9
cosine,dm,0.7738693467336684,21,0.9
cosine,le,0.2914572864321608,21,0.9
pearson,pca,0.7914572864321608,22,0.9
pearson,dm,0.7085427135678392,22,0.9
pearson,le,0.1884422110552764,22,0.9
spearman,pca,0.6984924623115578,22,0.9
spearman,dm,0.7135678391959799,22,0.9
spearman,le,0.23366834170854273,22,0.9
normalized_angle,pca,0.8065326633165829,22,0.9
normalized_angle,dm,0.8090452261306532,22,0.9
normalized_angle,le,0.4949748743718593,22,0.9
gaussian,pca,0.8743718592964824,22,0.9
gaussian,dm,0.7512562814070352,22,0.9
gaussian,le,0.5201005025125628,22,0.9
cosine,pca,0.7914572864321608,22,0.9
cosine,dm,0.7738693467336684,22,0.9
cosine,le,0.30904522613065327,22,0.9
pearson,pca,0.7964824120603015,23,0.9
pearson,dm,0.7160804020100503,23,0.9
pearson,le,0.15577889447236182,23,0.9
spearman,pca,0.7035175879396985,23,0.9
spearman,dm,0.7236180904522613,23,0.9
spearman,le,0.22110552763819097,23,0.9
normalized_angle,pca,0.8015075376884422,23,0.9
normalized_angle,dm,0.8065326633165829,23,0.9
normalized_angle,le,0.47738693467336685,23,0.9
gaussian,pca,0.871859296482412,23,0.9
gaussian,dm,0.7462311557788944,23,0.9
gaussian,le,0.5050251256281407,23,0.9
cosine,pca,0.7914572864321608,23,0.9
cosine,dm,0.7763819095477387,23,0.9
cosine,le,0.27386934673366836,23,0.9
pearson,pca,0.7939698492462312,24,0.9
pearson,dm,0.7160804020100503,24,0.9
pearson,le,0.17587939698492464,24,0.9
spearman,pca,0.7035175879396985,24,0.9
spearman,dm,0.7160804020100503,24,0.9
spearman,le,0.21105527638190955,24,0.9
normalized_angle,pca,0.8040201005025126,24,0.9
normalized_angle,dm,0.8115577889447236,24,0.9
normalized_angle,le,0.4899497487437186,24,0.9
gaussian,pca,0.871859296482412,24,0.9
gaussian,dm,0.7487437185929648,24,0.9
gaussian,le,0.44472361809045224,24,0.9
cosine,pca,0.7889447236180904,24,0.9
cosine,dm,0.7663316582914573,24,0.9
cosine,le,0.2864321608040201,24,0.9
pearson,pca,0.7939698492462312,25,0.9
pearson,dm,0.7135678391959799,25,0.9
pearson,le,0.1884422110552764,25,0.9
spearman,pca,0.7035175879396985,25,0.9
spearman,dm,0.7160804020100503,25,0.9
spearman,le,0.2135678391959799,25,0.9
normalized_angle,pca,0.8015075376884422,25,0.9
normalized_angle,dm,0.8065326633165829,25,0.9
normalized_angle,le,0.49748743718592964,25,0.9
gaussian,pca,0.8693467336683417,25,0.9
gaussian,dm,0.7512562814070352,25,0.9
gaussian,le,0.44974874371859297,25,0.9
cosine,pca,0.7839195979899497,25,0.9
cosine,dm,0.7713567839195979,25,0.9
cosine,le,0.28391959798994976,25,0.9
pearson,pca,0.7939698492462312,26,0.9
pearson,dm,0.7185929648241206,26,0.9
pearson,le,0.17336683417085427,26,0.9
spearman,pca,0.6959798994974874,26,0.9
spearman,dm,0.7110552763819096,26,0.9
spearman,le,0.1984924623115578,26,0.9
normalized_angle,pca,0.8040201005025126,26,0.9
normalized_angle,dm,0.8065326633165829,26,0.9
normalized_angle,le,0.4723618090452261,26,0.9
gaussian,pca,0.8693467336683417,26,0.9
gaussian,dm,0.7512562814070352,26,0.9
gaussian,le,0.43467336683417085,26,0.9
cosine,pca,0.7814070351758794,26,0.9
cosine,dm,0.7738693467336684,26,0.9
cosine,le,0.28391959798994976,26,0.9
pearson,pca,0.7964824120603015,27,0.9
pearson,dm,0.7286432160804021,27,0.9
pearson,le,0.16080402010050251,27,0.9
spearman,pca,0.7010050251256281,27,0.9
spearman,dm,0.7261306532663316,27,0.9
spearman,le,0.1984924623115578,27,0.9
normalized_angle,pca,0.8065326633165829,27,0.9
normalized_angle,dm,0.8115577889447236,27,0.9
normalized_angle,le,0.5025125628140703,27,0.9
gaussian,pca,0.871859296482412,27,0.9
gaussian,dm,0.7512562814070352,27,0.9
gaussian,le,0.4296482412060301,27,0.9
cosine,pca,0.7864321608040201,27,0.9
cosine,dm,0.7713567839195979,27,0.9
cosine,le,0.32663316582914576,27,0.9
