kernels,dimension reduction,accuracy,n_gradients,sparsity
pearson,pca,0.36432160804020103,1,0.9
pearson,dm,0.3417085427135678,1,0.9
pearson,le,0.3391959798994975,1,0.9
spearman,pca,0.37185929648241206,1,0.9
spearman,dm,0.33668341708542715,1,0.9
spearman,le,0.35175879396984927,1,0.9
normalized_angle,pca,0.3869346733668342,1,0.9
normalized_angle,dm,0.3844221105527638,1,0.9
normalized_angle,le,0.3844221105527638,1,0.9
gaussian,pca,0.6180904522613065,1,0.9
gaussian,dm,0.38190954773869346,1,0.9
gaussian,le,0.3844221105527638,1,0.9
cosine,pca,0.4020100502512563,1,0.9
cosine,dm,0.36683417085427134,1,0.9
cosine,le,0.3793969849246231,1,0.9
pearson,pca,0.3592964824120603,2,0.9
pearson,dm,0.44472361809045224,2,0.9
pearson,le,0.38944723618090454,2,0.9
spearman,pca,0.36432160804020103,2,0.9
spearman,dm,0.42462311557788945,2,0.9
spearman,le,0.3542713567839196,2,0.9
normalized_angle,pca,0.41457286432160806,2,0.9
normalized_angle,dm,0.4396984924623116,2,0.9
normalized_angle,le,0.3969849246231156,2,0.9
gaussian,pca,0.7286432160804021,2,0.9
gaussian,dm,0.41708542713567837,2,0.9
gaussian,le,0.3592964824120603,2,0.9
cosine,pca,0.42462311557788945,2,0.9
cosine,dm,0.4824120603015075,2,0.9
cosine,le,0.43467336683417085,2,0.9
pearson,pca,0.40703517587939697,3,0.9
pearson,dm,0.550251256281407,3,0.9
pearson,le,0.4798994974874372,3,0.9
spearman,pca,0.41708542713567837,3,0.9
spearman,dm,0.5326633165829145,3,0.9
spearman,le,0.46733668341708545,3,0.9
normalized_angle,pca,0.5050251256281407,3,0.9
normalized_angle,dm,0.5150753768844221,3,0.9
normalized_angle,le,0.4648241206030151,3,0.9
gaussian,pca,0.7889447236180904,3,0.9
gaussian,dm,0.49748743718592964,3,0.9
gaussian,le,0.41457286432160806,3,0.9
cosine,pca,0.5326633165829145,3,0.9
cosine,dm,0.6030150753768844,3,0.9
cosine,le,0.5552763819095478,3,0.9
pearson,pca,0.5326633165829145,4,0.9
pearson,dm,0.5527638190954773,4,0.9
pearson,le,0.5050251256281407,4,0.9
spearman,pca,0.5477386934673367,4,0.9
spearman,dm,0.5678391959798995,4,0.9
spearman,le,0.5125628140703518,4,0.9
normalized_angle,pca,0.6331658291457286,4,0.9
normalized_angle,dm,0.6457286432160804,4,0.9
normalized_angle,le,0.5879396984924623,4,0.9
gaussian,pca,0.8065326633165829,4,0.9
gaussian,dm,0.6130653266331658,4,0.9
gaussian,le,0.5402010050251256,4,0.9
cosine,pca,0.6432160804020101,4,0.9
cosine,dm,0.6557788944723618,4,0.9
cosine,le,0.5753768844221105,4,0.9
pearson,pca,0.6206030150753769,5,0.9
pearson,dm,0.5628140703517588,5,0.9
pearson,le,0.4849246231155779,5,0.9
spearman,pca,0.6030150753768844,5,0.9
spearman,dm,0.6180904522613065,5,0.9
spearman,le,0.4824120603015075,5,0.9
normalized_angle,pca,0.7110552763819096,5,0.9
normalized_angle,dm,0.7185929648241206,5,0.9
normalized_angle,le,0.6834170854271356,5,0.9
gaussian,pca,0.8341708542713567,5,0.9
gaussian,dm,0.6482412060301508,5,0.9
gaussian,le,0.5728643216080402,5,0.9
cosine,pca,0.7035175879396985,5,0.9
cosine,dm,0.7185929648241206,5,0.9
cosine,le,0.5804020100502513,5,0.9
